Model,Target,RÂ²,MAE,MSE,RMSE
Linear Regression,angle_mie,0.6567051281106112,0.5692539425252032,0.5357343777532445,0.7319387800583083
Linear Regression,length_mie,0.938613973974835,9.395160183076904,167.0817890537734,12.926012109454849
Linear Regression,angle_shadow,0.7905144664963228,0.42491584001269495,0.29876841313698893,0.5465971214130101
Linear Regression,length_shadow,0.9504669201993345,8.728603393418988,145.24974286129367,12.051960125278114
Linear Regression,Overall,0.8340751221952759,4.779483339758447,78.29150867648933,6.5641270340510705
Decision Tree,angle_mie,0.9877608887562964,0.04439911751616631,0.01909994346933025,0.13820254508991595
Decision Tree,length_mie,0.9965176064173726,2.280266806329748,9.47845279536788,3.0787095990638482
Decision Tree,angle_shadow,0.9926722471724956,0.05945834945371988,0.01045084616353784,0.1022293801386756
Decision Tree,length_shadow,0.9975745599123365,2.0431029224491346,7.112308592083013,2.6668911848973167
Decision Tree,Overall,0.9936313255646252,1.1068067989371921,4.15507804427094,1.4965081772974391
Random Forest,angle_mie,0.9828638116056043,0.10417622845999305,0.026742156607255974,0.16353029262878477
Random Forest,length_mie,0.9857688030386043,4.251560551541897,38.73477406261584,6.223726702114726
Random Forest,angle_shadow,0.9783712096158916,0.12151468491614692,0.03084699584288566,0.17563312854608512
Random Forest,length_shadow,0.9849515535644339,4.351215353944672,44.12774218813179,6.6428715318100044
Random Forest,Overall,0.9829888444561335,2.207116704715677,20.73002635079944,3.3014404137749
Gradient Boosting,angle_mie,0.9872703391137164,0.056966559000811545,0.01986547866674882,0.14094494906433797
Gradient Boosting,length_mie,0.9994198471435591,0.9083592898251287,1.5790723631311452,1.2566114606874892
Gradient Boosting,angle_shadow,0.9932567319386995,0.06881395742277732,0.009617253584705146,0.09806759701708381
Gradient Boosting,length_shadow,0.9994807305745111,0.8907207941849887,1.5226945473916649,1.2339750999885146
Gradient Boosting,Overall,0.9948569121926216,0.4812151501084265,0.7828124106935661,0.6823997766893564
SVR,angle_mie,0.9948701504747005,0.06974618620648437,0.008005469840777497,0.08947329121462727
SVR,length_mie,0.9879706616658264,2.432814983447318,32.741708498656,5.722037093435868
SVR,angle_shadow,0.9826142399587162,0.11008812818901055,0.024795583025897405,0.1574661329489532
SVR,length_shadow,0.9878130403089131,2.5558847317661906,35.73677971397869,5.978024733469969
SVR,Overall,0.9883170231020391,1.2921335074022509,17.127822316375344,2.9867503127673545
KNN,angle_mie,0.9994262189757106,0.018704383205828845,0.0008954232794755074,0.029923624103298508
KNN,length_mie,0.9984218600606207,1.42339681861136,4.2954147958790125,2.0725382495575353
KNN,angle_shadow,0.9988580418839582,0.027790233703017315,0.0016286614569149312,0.04035667797174256
KNN,length_shadow,0.9984666330926795,1.4924599565740284,4.496412294503218,2.120474544648725
KNN,Overall,0.9987931885032422,0.7405878480235586,2.198587793779655,1.0658232740703253
